number,actual_name,position_type,death_year,deathdate,death_location,death_age,era_name,birthdate,birth_year
100,William Peter Fortune,OL,1947,3/12/47,"Chicago, IL",49,pre-1940,1897-10-14,1897
101,Wilbur Amos Henry,OL,1947,11/9/47,"Los Angeles, CA",55,pre-1940,1891-12-04,1891
102,William Ernest Hewitt,TE,1947,1/14/47,"Sellersville, PA",37,pre-1940,10/8/09,1909
103,Paul John Kittredge,RB/FB,1947,3/2/47,"Groton, CT",42,pre-1940,10/9/04,1904
104,Marion Charles Ashmore,OL,1948,2/26/48,"Aberdeen, WA",48,pre-1940,1899-07-09,1899
105,Ralph Cleo Calcagni,OL,1948,8/29/48,"Meadville, PA",26,1941 to 1959,2/6/22,1922
106,Kenneth LeRoy Fulton,OL,1948,3/12/48,"Muncie, IN",48,pre-1940,1899-06-05,1899
107,Henry Charles Gillo,RB/FB,1948,9/6/48,"Milwaukee, WI",53,pre-1940,1894-10-05,1894
108,Alvin Jay Jolley,OL,1948,8/26/48,"Marietta, OH",48,pre-1940,1899-09-29,1899
109,Stanley Hubert Mauldin,OL,1948,9/25/48,"Chicago, IL",27,1941 to 1959,12/27/20,1920
110,Louis Alfred Merillat Jr.,TE,1948,4/26/48,"Chicago, IL",55,pre-1940,1892-06-09,1892
111,Nelson Gadd Rupp,WR,1948,8/9/48,"South Norwalk, CT",57,pre-1940,1891-06-15,1891
112,Joseph Spagna,OL,1948,12/11/48,"Philadelphia, PA",51,pre-1940,1897-05-15,1897
113,Richard Raymond Spain,OL,1948,10/3/48,"Los Angeles County, CA",55,pre-1940,1893-05-20,1893
114,Pryor Allen Williams,OL,1948,1/1/48,"Birmingham, AL",54,pre-1940,1893-12-26,1893
115,Russell Brooks Bailey,OL,1949,9/15/49,"Wheeling, WV",51,pre-1940,1897-10-17,1897
116,koseph Patrick Braney,OL,1949,12/1/49,"Providence, RI",57,pre-1940,1892-08-29,1892
117,Stanley Burnham,RB/FB,1949,7/10/49,  ,52,pre-1940,1897-03-02,1897
118,Raymond Chester Falcon,OL,1949,9/15/49,"Evanston, IL",53,pre-1940,1896-04-26,1896
119,Ralph Charles Henricus,RB/FB,1949,8/27/49,"Alameda County, CA",53,pre-1940,1896-06-02,1896
120,Robert Adam Charles Koehler,RB/FB,1949,7/1/49,"Sister Lake, MI",55,pre-1940,1894-04-07,1894
121,Charles Thomas Kyle,OL,1949,10/31/49,"Girard, OH",50,pre-1940,1899-08-20,1899
122,John William Milton,TE,1949,5/16/49,"Los Angeles, CA",50,pre-1940,1898-11-09,1898
123,James Hubert Neill,RB/FB,1949,5/7/49,"Temple, TX",35,pre-1940,5/9/13,1913
124,Olin Berry Newman Jr.,TE,1949,6/4/49,"Okaloosa County, FL",49,pre-1940,1900-02-27,1900
125,Augustus Alfred Redman,RB/FB,1949,7/19/49,"Lowell, MA",52,pre-1940,1896-12-10,1896
126,Elmer George Schwartz,RB/FB,1949,3/21/49,"Butte County,  CA",42,pre-1940,7/29/06,1906
127,Robert Walter Skoglund,DL,1949,1/1/49,"Evanston, IL",23,1941 to 1959,7/29/25,1925
128,William Valentine Slyker,TE,1949,9/1/49,"Evansville, IN",50,pre-1940,1899-02-14,1899
129,Lloyd George Wasserbach,OL,1949,2/1/49,"Ripon, WI",28,1941 to 1959,1/30/21,1921
130,Chapeze Wathen,TE,1949,7/5/49,"Owensboro, KY",46,pre-1940,1903-05-15,1903
131,Eugene Overbey Wiggs,OL,1949,5/17/49,"Montgomery,  AL",49,pre-1940,1899-07-30,1899
132,Joseph Alford Williams,OL,1949,1/18/49,,52,pre-1940,1896-03-03,1896
133,Winston Donley Anderson,TE,1950,11/11/50,"Columbus, OH",41,pre-1940,11/10/09,1909
134,Russell K. Behman,OL,1950,3/24/50,"Harrisburg, PA",50,pre-1940,1900-01-15,1900
135,William H. Brennan,OL,1950,10/19/50,"Chicago, IL",57,pre-1940,1893-02-12,1893
136,Albert George Feeney,OL,1950,11/2/50,"Indianapolis, IN",58,pre-1940,1891-11-12,1891
137,Paul Frederick Herman Fitzke,WR,1950,6/30/50,"Sacramento, CA",49,pre-1940,1900-07-30,1900
138,Alfred Tennyson Garrett,TE,1950,6/11/50,"Verona, NJ",57,pre-1940,1893-04-17,1893
139,Andrew V. King,RB/FB,1950,3/4/50,"Reno, NV",54,pre-1940,1895-10-25,1895
140,Albert Lee Lauer,RB/FB,1950,7/9/50,"Evansville, IN",52,pre-1940,1897-10-14,1897
141,Jerry Maynard Niles Jr.,QB,1950,12/27/50,"Sumter, SC",31,pre-1940,5/1/19,1919
142,Clair Joseph Purdy Jr.,RB/FB,1950,1/10/50,"Auburn, NY",55,pre-1940,1894-01-24,1894
143,Martin Slovak,RB/FB,1950,3/22/50,"Toledo, OH",33,pre-1940,12/25/16,1916
144,Edward Charles Storm,RB/FB,1950,6/4/50,"Castroville, CA",42,pre-1940,10/2/07,1907
145,Justin Jay Brumbaugh,RB/FB,1951,7/3/51,"Rochester, MN",46,pre-1940,3/2/05,1905
146,Charles Peter Carton,TE,1951,6/9/51,"New York, NY",50,pre-1940,1901-03-06,1901
147,Thomas Francis Gormley,OL,1951,7/24/51,"Washington, DC",59,pre-1940,1891-08-08,1891
148,Harry Archibald Hall,RB/FB,1951,2/25/51,"Olmstead County, MN",48,pre-1940,1902-10-05,1902
149,Bernard Christian Halstrom,RB/FB,1951,9/15/51,"Dade County, FL",56,pre-1940,1895-04-18,1895
150,Anthony Samuel Ippolito,OL,1951,11/12/51,"Evanston, WY",34,pre-1940,9/19/17,1917
151,James Stanton Keck,OL,1951,1/20/51,"Pittsburgh, PA",53,pre-1940,1897-09-11,1897
152,William Curtis Kenyon,RB/FB,1951,5/6/51,"Bangor, ME",52,pre-1940,1898-12-05,1898
153,Feryl J. Klaus,OL,1951,2/14/51,"Green Bay, WI",48,pre-1940,1902-09-26,1902
154,Reynold Rudolph Kraft,TE,1951,11/7/51,"Chicago, IL",56,pre-1940,1895-03-29,1895
155,Vincent H. Lensing Jr.,OL,1951,8/26/51,"Evansville, IN",50,pre-1940,1901-01-26,1901
156,Elmer Francis McCormick,OL,1951,2/4/51,"Springfield, MA",52,pre-1940,1898-10-27,1898
157,Joseph Griffin Mulbarger,OL,1951,10/31/51,"Columbus, OH",56,pre-1940,1895-03-02,1895
158,Everett Virgil Purdy,RB/FB,1951,1/16/51,"Ingleside, NE",46,pre-1940,6/15/04,1904
159,Patrick George Quinn,RB/FB,1951,5/19/51,"Los Angeles County, CA",61,pre-1940,1890-02-05,1890
160,Wolcott A. Roberts,RB/FB,1951,8/27/51,"Drexel Hill, PA",53,pre-1940,1897-09-01,1897
161,Howard Seymour Stith,OL,1951,4/6/51,"Louisville, KY",51,pre-1940,1899-09-13,1899
162,John Stephen Triggs,RB/FB,1951,2/16/51,"Brockton, MA",48,pre-1940,1903-01-11,1903
163,Woodruff Harlan Bruder,RB/FB,1952,11/13/52,"Houston, TX",51,pre-1940,1901-02-05,1901
164,Kasimier Gozdowski,RB/FB,1952,9/19/52,"Toledo, OH",55,pre-1940,1897-03-04,1897
165,Frederick Hartley Graham,TE,1952,8/29/52,"Fairmont, WV",51,pre-1940,1900-12-11,1900
166,Bruno Phillip Haas,RB/FB,1952,6/5/52,"Sarasota, FL",61,pre-1940,1891-05-05,1891
167,Wilbur Francis Henry,OL,1952,2/7/52,"Washington, PA",54,pre-1940,1897-10-31,1897
168,Robert Oscar Knop,RB/FB,1952,11/5/52,"Chicago, IL",56,pre-1940,1896-09-05,1896
169,John Irvin Langhoff,RB/FB,1952,1/12/52,"Milwaukee, WI",54,pre-1940,1897-08-24,1897
170,Russell Jack Lowther Jr.,RB/FB,1952,9/29/52,"Livonia, MI",29,1941 to 1959,12/27/22,1922
171,Alvin Nugent McMillin,RB/FB,1952,3/31/52,"Bloomington, IN",57,pre-1940,1895-01-12,1895
172,Fondren Lack Mitchell,RB/FB,1952,9/24/52,"Tampa, FL",31,1941 to 1959,6/19/21,1921
173,Timothy Anthony Moynihan,OL,1952,4/3/52,"Orange, CA",45,pre-1940,9/21/06,1906
174,Earl A. Plank,TE,1952,9/30/52,"Bellefontaine, OH",47,pre-1940,7/28/05,1905
175,Leo Thomas Raskowski,OL,1952,10/31/52,"Vancouver, WA",46,pre-1940,3/28/06,1906
176,Gilbert T. Skeate,RB/FB,1952,1/30/52,Washington,50,pre-1940,1901-05-19,1901
177,Norman John Speck,OL,1952,11/18/52,"Canton, OH",66,pre-1940,1886-07-30,1886
178,Alexander Aloysius Anderson,OL,1953,11/14/53,  ,60,pre-1940,1893-06-17,1893
179,Edward John Barnikow,RB/FB,1953,12/1/53,"Schenectady, NY",55,pre-1940,1897-12-18,1897
180,Oscar George Hendrian,RB/FB,1953,12/13/53,"Los Angeles, CA",57,pre-1940,1896-01-19,1896
181,James Joseph Kamp,OL,1953,7/4/53,,45,pre-1940,12/5/07,1907
182,Walter Frederic Koppisch,RB/FB,1953,11/5/53,"New York, NY",52,pre-1940,1901-06-06,1901
183,Frank Simmons Leavitt,OL,1953,5/29/53,"Norcross, GA",61,pre-1940,1891-06-30,1891
184,Walter Oliver Merrill,OL,1953,3/12/53,"Andalusia, AL",35,pre-1940,8/7/17,1917
185,Louis Eugene Metzger,RB/FB,1953,5/25/53,"Evanston, IL",49,pre-1940,2/13/04,1904
186,Charles Arthur Mockmore,OL,1953,4/11/53,"Benton County, NE",61,pre-1940,1891-11-07,1891
187,Frank B. Nesser,RB/FB,1953,11/1/53,"Columbus, OH",54,pre-1940,1899-06-03,1899
188,James Francis Wathohuck Thorpe,RB/FB,1953,3/28/53,"Lomita, CA",65,pre-1940,1887-05-28,1887
189,Frank Joseph Walton,OL,1953,9/22/53,"Beaver Falls, PA",41,pre-1940,12/25/11,1911
190,Frank Whiting Youngfleish,OL,1953,1/21/53,"Pottsville, PA",56,pre-1940,1896-05-07,1896
191,Edward Solomon Butler,WR,1954,12/1/54,"Chicago, IL",57,pre-1940,1897-07-26,1897
192,Milton LeRoy Gardner,OL,1954,12/23/54,"Rocky River, OH",60,pre-1940,1894-07-02,1894
193,Loren Leland Lewis,RB/FB,1954,1/17/54,"Michigan City, IN",47,pre-1940,10/18/06,1906
194,Emmett Kelly Moan,RB/FB,1954,8/3/54,"Wheeling, WV",41,pre-1940,10/20/12,1912
195,Otto Lee Rohsenberger,OL,1954,1/15/54,,57,pre-1940,1896-11-06,1896
196,David Walter Sparks,OL,1954,12/5/54,"Arlington, VA",26,1941 to 1959,4/28/28,1928
197,James Madison Stifler,TE,1954,7/17/54,"Boston, MA",52,pre-1940,1901-08-25,1901
198,Reginald Edward Attache,WR,1955,6/22/55,"Pecanga Indian Reservation , CA",61,pre-1940,1894-02-05,1894
199,Robert F. Bellinger,OL,1955,5/8/55,"Lansing, MI",42,pre-1940,1/20/13,1913
200,Norman Stanley Glockson,OL,1955,8/5/55,"Maywood, IL",61,pre-1940,1894-06-15,1894
201,Franklin Hood,RB/FB,1955,8/21/55,"Monaca, PA",46,pre-1940,10/5/08,1908
202,Clifton Wilson Lemon,TE,1955,11/9/55,"Louisville, KY",54,pre-1940,1901-04-15,1901
203,Edward Stanley Prokop,RB/FB,1955,5/30/55,"Cleveland, OH",33,1941 to 1959,2/11/22,1922
204,Michael Franklin Seyfrit,TE,1955,9/1/55,"Bloomington, IL",57,pre-1940,1898-01-31,1898
205,Donald C. Talcott,OL,1955,4/22/55,"Reno, NV",33,1941 to 1959,5/21/21,1921
206,Henry Christian Zehrer,RB/FB,1955,3/16/55,"Putnam, CT",49,pre-1940,12/20/05,1905
207,Bennie Leo Aldridge,DB,1956,5/14/56,"Bradley, OK",29,1941 to 1959,10/24/26,1926
208,Edward Michael William Brawley Jr.,OL,1956,5/1/56,"Peabody, MA",67,pre-1940,1888-07-17,1888
209,George Woodrow Maddox,OL,1956,3/14/56,"McKinney, TX",44,pre-1940,11/4/11,1911
210,Orrin Thomas Mooney Jr.,OL,1956,5/19/56,"Coronam, CA",39,pre-1940,3/8/17,1917
211,William Ervin Murrah,OL,1956,6/1/56,"San Antonio, TX",55,pre-1940,1900-09-05,1900
212,Russell Manning Oltz,OL,1956,6/2/56,,57,pre-1940,1899-03-18,1899
213,Everett Lawrence Rowan,TE,1956,11/9/56,"San Diego County, CA",54,pre-1940,1902-10-18,1902
214,Norman Parker Strader,RB/FB,1956,5/26/56,"Berkeley, CA",53,pre-1940,1902-12-21,1902
215,Claudis Earl Thornhill,OL,1956,6/29/56,"Berkeley, CA",63,pre-1940,1893-04-14,1893
216,Adlai Byron Wimberly,OL,1956,5/10/56,"Detroit, MI",63,pre-1940,1892-09-03,1892
217,Eugene Francis Augusterfer,RB/FB,1957,1/17/57,"Washington, DC",42,pre-1940,10/4/14,1914
218,Roy Bruno Barni,DB,1957,7/22/57,"San Francisco, CA",30,1941 to 1959,2/15/27,1927
219,Myrton Nathan Basing,RB/FB,1957,4/29/57,"Colorado Springs, CO",56,pre-1940,1900-10-29,1900
220,Joseph Thomas Cardwell,OL,1957,7/6/57,"Norfolk, VA",45,pre-1940,1/31/12,1912
221,Wilson Immel Flattery,OL,1957,4/4/57,"Wooster, OH",53,pre-1940,2/4/04,1904
222,Mitchell Oscar Gregory,OL,1957,7/30/57,"Granville, OH",52,pre-1940,7/30/05,1905
223,Emerald Ford Lamme,TE,1957,9/4/57,"Columbus, OH",52,pre-1940,7/2/05,1905
224,Herman Joseph Martell,TE,1957,10/27/57,"Green Bay , WI",56,pre-1940,1900-12-08,1900
225,Dennis Edward Myers,OL,1957,5/30/57,"Newton, MA",51,pre-1940,11/10/05,1905
226,John Theodore Pohlman,RB/FB,1957,5/8/57,"Milford, CT",54,pre-1940,1902-09-18,1902
227,Harry Fitz Randolph,RB/FB,1957,12/3/57,"Harrison, NJ",57,pre-1940,1900-04-10,1900
228,John George Schneider,WR,1957,5/13/57,"Columbus, OH",63,pre-1940,1894-02-15,1894
229,Raymond B. Schwab,RB/FB,1957,11/29/57,"San Diego County, CA",49,pre-1940,2/28/08,1908
230,Dominic Frederick Sigillo,OL,1957,7/1/57,"San Francisco, CA",44,pre-1940,3/7/13,1913
231,Peter Stanley Vainowski,OL,1957,7/16/57,"Chicago, IL",54,pre-1940,1902-09-07,1902
232,Thomas Joseph Whelan,TE,1957,6/26/57,"Boston, MA",63,pre-1940,1894-01-03,1894
233,William Stuart Wilson Jr.,TE,1957,9/15/57,"Elizabeth, NJ",50,pre-1940,7/1/07,1907
234,Louis Ernst Fritsch,OL,1958,1/20/58,"Indianapolis, IN",78,pre-1940,1879-10-09,1879
235,Walter John Gilbert,RB/FB,1958,9/7/58,"Duluth, MN",57,pre-1940,1900-12-19,1900
236,Herman Michael Hickman Jr.,OL,1958,4/25/58,"Washington, DC",46,pre-1940,10/1/11,1911
237,Robert Hosack Karch,OL,1958,11/14/58,"Columbus, OH",64,pre-1940,1894-07-04,1894
238,Joseph J. Kraker,OL,1958,5/14/58,"St. Louis County, MN",61,pre-1940,1896-06-14,1896
239,Galen William Laack,OL,1958,12/31/58,"Livermore, CA",26,1941 to 1959,4/3/32,1932
240,Wesley Stuart Leaper,TE,1958,1/30/58,"Cleveland, OH",57,pre-1940,1900-10-23,1900
241,John Warner Lord,OL,1958,3/11/58,"Rye, NY",53,pre-1940,9/23/04,1904
242,Robert Walls Marshall,TE,1958,8/27/58,"Minneapolis, MN",78,pre-1940,1880-03-12,1880
243,George Russell McIndoe,TE,1958,1/26/58,,61,pre-1940,1896-12-06,1896
244,Richard Patrick Murray,TE,1958,4/27/58,"Marinette, WI",65,pre-1940,1892-10-28,1892
245,George J. Rohleder,OL,1958,2/17/58,,59,pre-1940,1898-03-10,1898
246,Elmer Theodore Rundquist,OL,1958,2/7/58,"Lackland AFB, TX",63,pre-1940,1894-11-22,1894
247,Joseph Louis Setron,OL,1958,9/25/58,"Cleveland, OH",58,pre-1940,1900-08-10,1900
248,Gaylon Wesley Smith,RB/FB,1958,3/10/58,"Cleveland, OH",41,pre-1940,7/15/16,1916
249,Eugene Russell Smith,OL,1958,7/7/58,"Johnson City, IL",62,pre-1940,1895-11-11,1895
250,Lyle Robert Sturgeon,OL,1958,12/28/58,"Green Bay, WI",44,pre-1940,1/18/14,1914
251,James Edward Welsh,OL,1958,2/12/58,"Lake County, FL",55,pre-1940,1902-09-17,1902
252,Ludwig A. Bachor,OL,1959,12/11/59,"Lansing, MI",58,pre-1940,1901-12-10,1901
253,Warren Lawson Beson,OL,1959,10/25/59,"Northfield, MN",35,1941 to 1959,11/16/23,1923
254,Lawrence Brahm,OL,1959,6/16/59,"Yonkers, NY",42,pre-1940,8/12/16,1916
255,Walter Carlton Brindley,RB/FB,1959,8/13/59,  ,64,pre-1940,1895-05-24,1895
256,Bruce Caldwell,RB/FB,1959,2/16/59,"West Haven, CT",53,pre-1940,2/8/06,1906
257,Nicholas William Campofreda,OL,1959,5/23/59,"Towson, MD",45,pre-1940,1/14/14,1914
258,Paul R. Franklin,RB/FB,1959,8/26/59,"Mount Prospect, IL",53,pre-1940,2/10/06,1906
259,Willis Allen Glassgow,WR,1959,11/1/59,"Cedar Rapids, IA",52,pre-1940,4/21/07,1907
260,Thomas George Hupke,OL,1959,9/7/59,"Detroit, MI",48,pre-1940,12/29/10,1910
261,Edwin Earl Loucks,TE,1959,9/11/59,"Canton, OH",63,pre-1940,1895-09-15,1895
262,Philip Gregory Nesser,OL,1959,5/9/59,"Columbus, OH",78,pre-1940,1880-12-10,1880
